date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:49:54	50028/50028	---M-Z	200	added ('OK')	text/html	etag:%22c82d2-c36c-5ab469c4e7080-gzip%22	https://metropolitanhost.com/themes/themeforest/html/trickly/index.html	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/index.html	(from )
01:50:24	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2021%20Apr%202021%2020:50:51%20GMT	https://metropolitanhost.com/robots.txt		(from )
01:50:25	58135/58135	---M--	200	added ('OK')	text/css	etag:%22e7db1-e317-59899b912f980%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/css/plugins/animate.min.css	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/css/plugins/animate.min.css	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:50:26	7302/7302	---M--	200	added ('OK')	text/css	etag:%22e7db4-1c86-58a0907938380%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/css/plugins/magnific-popup.css	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/css/plugins/magnific-popup.css	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:50:26	1776/1776	---M--	200	added ('OK')	text/css	etag:%22e7db6-6f0-55ab07eb3a680%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/css/plugins/slick.css	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/css/plugins/slick.css	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:50:26	1368/1368	---M--	200	added ('OK')	text/css	etag:%22e7db5-558-59cae8bf6c080%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/css/plugins/slick-theme.css	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/css/plugins/slick-theme.css	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:50:27	11084/11084	---M--	200	added ('OK')	text/css	etag:%22e7db3-2b4c-59a274f09d600%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/css/plugins/ion.rangeSlider.min.css	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/css/plugins/ion.rangeSlider.min.css	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:50:27	140936/140936	---M--	200	added ('OK')	text/css	etag:%22e7db2-22688-571b24a497a00%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/css/plugins/bootstrap.min.css	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/css/plugins/bootstrap.min.css	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:50:27	1878/1878	---M--	200	added ('OK')	text/css	etag:%22e7dbe-756-5ab357d56a500%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/fonts/flaticon/flaticon.css	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/fonts/flaticon/flaticon.css	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:50:29	4595/4595	---M--	200	added ('OK')	image/x-icon	etag:%22c82d0-11f3-5ab392783fc00%22	https://metropolitanhost.com/themes/themeforest/html/trickly/favicon.ico	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/favicon.ico	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:50:29	79885/79885	---M--	200	added ('OK')	text/css	etag:%22146754-1380d-5ab342bbcdd00%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/fonts/font-awesome/css/font-awesome.min.css	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/fonts/font-awesome/css/font-awesome.min.css	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:50:31	111272/111272	---M--	200	added ('OK')	text/css	etag:%22e7db0-1b2a8-5ab46ac0ac280%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/css/style.css	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/css/style.css	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:50:35	35157/35157	---M-Z	200	added ('OK')	text/html	etag:%22c82d9-8955-5ab469d241000-gzip%22	https://metropolitanhost.com/themes/themeforest/html/trickly/shop.html	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/shop.html	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:50:55	184568/184568	---M--	200	added ('OK')	image/jpeg	etag:%22e7dc8-2d0f8-5ab336af9f080%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/img/sidebar-cta.jpg	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/img/sidebar-cta.jpg	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:51:06	33253/33253	---M-Z	200	added ('OK')	text/html	etag:%22c82cb-81e5-5ab469b1d4380-gzip%22	https://metropolitanhost.com/themes/themeforest/html/trickly/blog-details.html	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/blog-details.html	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:51:07	19472/19472	---M--	200	added ('OK')	image/jpeg	etag:%221668da-4c10-5ab333a93cd80%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/img/blog/sm/1.jpg	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/img/blog/sm/1.jpg	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:51:07	16411/16411	---M--	200	added ('OK')	image/jpeg	etag:%221668dc-401b-5ab333a93cd80%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/img/blog/sm/3.jpg	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/img/blog/sm/3.jpg	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:51:08	22308/22308	---M--	200	added ('OK')	image/jpeg	etag:%221668db-5724-5ab333a93cd80%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/img/blog/sm/2.jpg	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/img/blog/sm/2.jpg	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:51:08	20059/20059	---M--	200	added ('OK')	image/jpeg	etag:%221668dd-4e5b-5ab333a93cd80%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/img/blog/sm/4.jpg	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/img/blog/sm/4.jpg	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:51:08	6369/6369	---M--	200	added ('OK')	image/png	etag:%22e7dc6-18e1-5ab314b24bf80%22	https://metropolitanhost.com/themes/themeforest/html/trickly/assets/img/logo.png	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/assets/img/logo.png	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:51:08	47942/47942	---M-Z	200	added ('OK')	text/html	etag:%22c82d1-bb46-5ab469c2fec00-gzip%22	https://metropolitanhost.com/themes/themeforest/html/trickly/home-v2.html	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/home-v2.html	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:51:09	29964/29964	---M-Z	200	added ('OK')	text/html	etag:%22c82cc-750c-5ab469b5a4c80-gzip%22	https://metropolitanhost.com/themes/themeforest/html/trickly/blog-grid.html	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/blog-grid.html	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:51:09	21899/21899	---M-Z	200	added ('OK')	text/html	etag:%22c82cd-558b-5ab469b975580-gzip%22	https://metropolitanhost.com/themes/themeforest/html/trickly/cart.html	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/cart.html	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:51:10	42383/42383	---M-Z	200	added ('OK')	text/html	etag:%22c82ce-a58f-5ab469bb5da00-gzip%22	https://metropolitanhost.com/themes/themeforest/html/trickly/checkout.html	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/checkout.html	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:51:10	27162/27162	---M-Z	200	added ('OK')	text/html	etag:%22c82d3-6a1a-5ab469c6cf500-gzip%22	https://metropolitanhost.com/themes/themeforest/html/trickly/product-details.html	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/product-details.html	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:51:10	27705/27705	---M-Z	200	added ('OK')	text/html	etag:%22c82d7-6c39-5ab469d058b80-gzip%22	https://metropolitanhost.com/themes/themeforest/html/trickly/recipe-grid.html	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/recipe-grid.html	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
01:51:10	33790/33790	---M-Z	200	added ('OK')	text/html	etag:%22c82d6-83fe-5ab469cc88280-gzip%22	https://metropolitanhost.com/themes/themeforest/html/trickly/recipe-details.html	D:/C#course/.net%20mvc/new/metropolitanhost.com/themes/themeforest/html/trickly/recipe-details.html	(from https://metropolitanhost.com/themes/themeforest/html/trickly/index.html)
